Map Type,Zone ID,Zone Name,Has Data,Indicators
EEZ,120,"Cameroon",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,132,"Cape Verde",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,136,"Cayman Isl. (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,144,"Sri Lanka",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,152,"Chile",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,153,"Easter Isl. (Chile)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,154,"Desventuradas Isl. (Chile)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,155,"Juan Fernandez Islands (Chile)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,156,"China",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,157,"Taiwan",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,162,"Christmas Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,166,"Cocos (Keeling) Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,174,"Comoros Isl.",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,175,"Mayotte (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,178,"Congo, R. of",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,180,"Congo (ex-Zaire)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,184,"Cook Islands",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,191,"Croatia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,192,"Cuba",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,197,"Cyprus (North)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,198,"Cyprus (South)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,204,"Benin",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,212,"Dominica",False,""
EEZ,214,"Dominican Republic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,218,"Ecuador",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,219,"Galapagos Isl. (Ecuador)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,222,"El Salvador",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,226,"Equatorial Guinea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,233,"Estonia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,234,"Faeroe Isl. (Denmark)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,238,"Falkland Isl. (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,239,"South Georgia & Sandwich Isl. (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,242,"Fiji",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,246,"Finland",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,251,"Mozambique Channel Isl. (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,252,"Tromelin Isl. (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,254,"French Guiana",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,258,"French Polynesia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,262,"Djibouti",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,266,"Gabon",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,268,"Georgia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,270,"Gambia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,274,"Gaza Strip",False,""
EEZ,277,"Germany (North Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,278,"Germany (Baltic Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,288,"Ghana",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,300,"Greece",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,304,"Greenland",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,308,"Grenada",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,312,"Guadeloupe (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,316,"Guam (USA)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,324,"Guinea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,328,"Guyana",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,332,"Haiti",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,334,"Heard & McDonald Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,344,"Hong Kong (China)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,352,"Iceland",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,356,"India (mainland)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,357,"Andaman & Nicobar Isl. (India)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,361,"Indonesia (Eastern)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,368,"Iraq",False,""
EEZ,372,"Ireland",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,380,"Italy",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,384,"C̫te d'Ivoire",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,388,"Jamaica",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,390,"Japan (main islands)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,393,"Japan (Daito Islands)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,396,"Johnston Atoll (USA)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,400,"Jordan",False,""
EEZ,404,"Kenya",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,408,"Korea (North)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,410,"Korea (South)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,414,"Kuwait",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,422,"Lebanon",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,428,"Latvia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,430,"Liberia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
